id;host_id;host_name;neighbourhood_cleansed;property_type;price;availability_365;number_of_reviews;review_scores_rating
33110075;106866016;BeBreeze;Pollença;Entire condo;89;298;66;4,44
33122222;249342928;Joan;Manacor;Entire rental unit;200;165;20;5
33148351;80839530;Homerti;Campos;Entire villa;242;306;1;5
33148355;80839530;Homerti;Manacor;Entire home;390;233;39;4,82
33442954;205499549;Holidu;Sóller;Entire rental unit;100;359;40;4,7
33444200;77083730;Seaside Mallorca S.L.;Andratx;Entire home;115;266;49;4,84
33446104;65697804;Ideal Property Mallorca;Alcúdia;Entire rental unit;140;0;38;4,87
33451375;4391834;Laura;Llucmajor;Entire serviced apartment;180;9;3;5
33461423;252095378;Marga;Manacor;Entire cottage;200;124;80;4,99
33469243;328075;Lola;Llucmajor;Entire townhouse;400;347;7;4,71
33472019;205499549;Holidu;Artà;Entire villa;270;364;1;5
33472020;205499549;Holidu;Artà;Entire villa;222;357;2;5
33743773;56334120;Patrick;Deyá;Entire villa;640;112;4;4,75
33761873;122491844;Sealand Villas;Pollença;Entire villa;150;161;18;4,72
33767677;254549938;Juan;Alcúdia;Entire rental unit;95;271;62;4,84
33772995;253861983;Esther;Palma de Mallorca;Private room in rental unit;50;301;156;4,9
33472074;205499549;Holidu;Artà;Entire villa;194;357;5;5
33479445;175116156;Juliane;Sant Llorenç des Cardassar;Entire rental unit;80;79;28;4,93
33479527;162734871;Rubén;Búger;Entire home;180;175;14;4,86
33487222;252330843;Francisco;Capdepera;Entire home;165;221;1;5
33487284;252330843;Francisco;Capdepera;Entire home;165;220;1;5
33487357;252330843;Francisco;Capdepera;Entire home;165;171;1;4
33507453;130722130;Fincas;Manacor;Entire home;72;13;27;4,19
33515397;131594018;Mallorca Holiday Properties;Alcúdia;Entire villa;205;197;26;4,81
33789468;80839530;Homerti;Sa Pobla;Entire villa;329;192;37;4,92
33790321;122491844;Sealand Villas;Pollença;Entire villa;120;222;24;4,75
33816884;79226125;Carlos;Campos;Entire rental unit;405;189;4;5
33819808;79226125;Carlos;Llucmajor;Entire rental unit;345;220;19;4,95
33820107;255344024;Jose;Llucmajor;Entire villa;84;289;20;4,45
33151571;249481408;Juana;Alcúdia;Entire rental unit;104;278;71;4,79
33154999;173328477;Gemma;Pollença;Entire villa;428;283;1;5
33156217;28443085;Antonio;Fornalutx;Entire cottage;225;169;32;5
33159073;228504036;Antonia;Pollença;Entire rental unit;229;7;104;4,88
33159451;228504036;Antonia;Pollença;Entire rental unit;229;3;97;4,9
33174301;205499549;Holidu;Pollença;Entire villa;250;363;0;4,691978021978023
33181471;249824473;Paula Soledad;Artà;Entire home;156;0;3;3,67
33181951;11810390;Villasmar;Alcúdia;Entire home;230;57;24;4,88
33182438;248983588;St;Felanitx;Farm stay;120;340;2;4
33542566;249024963;Apartamentos Son Caliu Playa;Calvià;Room in serviced apartment;140;214;8;5
33542622;249024963;Apartamentos Son Caliu Playa;Calvià;Room in serviced apartment;165;154;6;5
33544428;252754053;M Antonia;Pollença;Entire condo;142;229;23;4,83
33547029;27728705;Chloe;Calvià;Entire condo;200;330;0;4,6306364028348845
33547442;249024963;Apartamentos Son Caliu Playa;Calvià;Room in serviced apartment;113;200;34;4,85
33547878;252330843;Francisco;Capdepera;Entire home;168;179;4;5
33566316;245708611;YourHouse;Petra;Entire home;110;0;17;3,94
33567579;10723352;Marisa;Pollença;Entire townhouse;151;319;16;4,88
33569014;24926928;Dickinson;Pollença;Entire rental unit;145;278;21;4,14
33820845;100369580;Bernat;Pollença;Entire condo;206;148;4;4,25
33825204;80839530;Homerti;Sa Pobla;Entire villa;368;164;12;4,75
33827790;56334120;Patrick;Sóller;Entire villa;220;300;4;5
33865391;246503700;Gabriel;Alcúdia;Entire rental unit;43;345;193;4,77
33188098;149209395;Priority Villas;Sa Pobla;Entire villa;242;0;2;4,5
33199180;72719780;StudioPortSoller;Sóller;Entire rental unit;81;90;145;4,79
33203789;205499549;Holidu;Son Servera;Entire rental unit;140;352;38;4,68
33207012;74807108;ISholidays;Sineu;Entire villa;204;189;22;4,59
33209862;200549086;Sebastian;Selva;Room in boutique hotel;209;237;10;4,9
33211112;80636743;Foravila;Bunyola;Entire home;150;272;24;4,96
33217547;205499549;Holidu;Sant Llorenç des Cardassar;Entire villa;275;349;26;4,92
33866612;106866016;BeBreeze;Alcúdia;Entire rental unit;95;237;39;4,79
33569870;113372965;Mallorca Collection;Alcúdia;Entire villa;450;132;5;4,8
33571028;11810390;Villasmar;Alcúdia;Entire chalet;271;130;28;4,89
33597734;80839530;Homerti;Costitx;Entire villa;537;71;1;2
33597739;80839530;Homerti;Artà;Entire villa;387;38;16;5
33598319;205499549;Holidu;Santanyí;Entire home;190;364;15;4,73
33603756;253198137;Jordi;Sant Llorenç des Cardassar;Entire cottage;175;362;0;4,753363397861276
33603941;205499549;Holidu;Artà;Entire villa;294;364;1;5
33872650;6871428;Luz;Campos;Entire villa;350;259;9;5
33890063;100369580;Bernat;Pollença;Entire condo;396;169;16;4,56
33891852;100369580;Bernat;Pollença;Entire rental unit;363;169;9;4,56
33896036;222567748;Victòria;Ses Salines;Entire rental unit;172;272;23;4,7
33922796;205499549;Holidu;Selva;Entire villa;294;363;6;5
33606983;19959666;Maria;Pollença;Entire chalet;141;89;32;4,91
33607906;77083730;Seaside Mallorca S.L.;Llucmajor;Entire home;370;349;26;4,77
33609999;4645996;Svitlana;Santanyí;Entire villa;217;214;2;5
33627702;11810390;Villasmar;Alcúdia;Entire cottage;290;123;3;5
33627935;205499549;Holidu;Santanyí;Entire home;211;359;39;4,82
33628519;5059734;Piera;Santa Margalida;Entire guesthouse;130;204;0;4,642794873975458
33628957;205499549;Holidu;Llucmajor;Entire villa;265;365;16;4,31
33630569;7245955;Martina;Pollença;Entire home;157;143;32;4,84
33220084;12664284;Joan;Porreres;Entire home;53;317;39;4,85
33226080;31322162;David;Palma de Mallorca;Private room in rental unit;46;147;50;4,56
33233467;215890851;Antonio;Inca;Entire villa;157;235;27;5
